"","X1","X2","X1.1","X2.1","X3","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"1",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Hamilton, Bermuda",145.43,110.87,128.76,143.47,158.75,112.26
"2",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Zurich, Switzerland",141.25,66.14,105.03,149.86,135.76,142.7
"3",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Geneva, Switzerland",134.83,71.7,104.38,138.98,129.74,130.96
"4",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Basel, Switzerland",130.68,49.68,91.61,127.54,127.22,139.01
"5",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Bern, Switzerland",128.03,43.57,87.3,132.7,119.48,112.71
"6",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Lausanne, Switzerland",127.5,52.32,91.24,126.59,132.12,127.95
"7",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Reykjavik, Iceland",123.78,57.25,91.7,118.15,133.19,88.95
"8",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Stavanger, Norway",118.61,39.83,80.61,106.09,143.54,118.14
"9",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Lugano, Switzerland",118.24,52.91,86.73,117.74,122.3,119.86
"10",NA,"What are you looking for?Cost of LivingCrimeClimateFood PricesGas PricesHealth CarePollutionProperty PricesQuality of LifeTaxi FareTraffic

      
      

 
  jQuery(document).ready(function($) {
  	jQuery('#city_selector_menu_city_id').autocomplete({
  	  source: 'https://www.numbeo.com/common/CitySearchJson',
     minLength: 1,
     delay: 3,
     autoFocus: true,
     select: function(event, ui) {
         event.preventDefault();
         $('#city_selector_menu_city_id').val(ui.item.label);
         $('#menu_city_id').val(ui.item.value);
jQuery('#menu_dispatch_form').submit();     },
     focus: function(event, ui) {
         event.preventDefault();
     }
	  })   .keydown(function(e){
	    if (e.keyCode === 13){
      if ($('#menu_city_id').val() == '') { 
        e.preventDefault();
      }
      var val = $('#city_selector_menu_city_id').val();
		   $('#name_menu_city_id').val(val);
	   }
  }); // end autocompleter definition
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
$('#city_selector_menu_city_id').toggleClass('city-selector-menu');
 }); // end document ready",NA,"Tweet",NA,NA,"Oslo, Norway",117.23,49.28,84.46,112.42,124.09,102.94
