"","city","city_ascii","lat","lng","pop","country"
"1","QalehyeNow","Qalehye",34.98300013,63.13329964,2997,"Afghanistan"
"2","Chaghcharan","Chaghcharan",34.5167011,65.25000063,15000,"Afghanistan"
"3","LashkarGah","LashkarGah",31.58299802,64.35999955,201546,"Afghanistan"
"4","Zaranj","Zaranj",31.11200108,61.88699752,49851,"Afghanistan"
"5","TarinKowt","TarinKowt",32.63329815,65.86669865,10000,"Afghanistan"
"6","ZarehSharan","ZarehSharan",32.85000016,68.41670453,13737,"Afghanistan"
"7","Asadabad","Asadabad",34.86600004,71.15000459,48400,"Afghanistan"
"8","Taloqan","Taloqan",36.72999904,69.54000364,64256,"Afghanistan"
"9","MahmudEEraqi","MahmudEEraqi",35.01669608,69.33330065,7407,"Afghanistan"
"10","MehtarLam","MehtarLam",34.65000001,70.16670052,17345,"Afghanistan"
"11","BarakiBarak","BarakiBarak",33.9667021,68.96670354,22305,"Afghanistan"
"12","Aybak","Aybak",36.26100015,68.04000051,24000,"Afghanistan"
"13","MaydaShahr","MaydaShahr",34.45000209,68.79999663,35008,"Afghanistan"
"14","Karokh","Karokh",34.48676963,62.59177608,14388.5,"Afghanistan"
"15","Sheberghan","Sheberghan",36.65798077,65.73830237,74441,"Afghanistan"
"16","PoleKhomri","PoleKhomri",35.95107302,68.70111894,41029,"Afghanistan"
"17","Balkh","Balkh",36.75011985,66.89973018,147426,"Afghanistan"
"18","Meymaneh","Meymaneh",35.93022158,64.77009273,199795,"Afghanistan"
"19","Andkhvoy","Andkhvoy",36.93165916,65.10149369,50469,"Afghanistan"
"20","Qalat","Qalat",32.11226341,66.8867594,12191,"Afghanistan"
"21","Ghazni","Ghazni",33.56331179,68.41782873,129892.5,"Afghanistan"
"22","Feyzabad","Feyzabad",37.12976076,70.57924719,52490,"Afghanistan"
"23","Kondoz","Kondoz",36.72795066,68.87252966,210855.5,"Afghanistan"
"24","Jalalabad","Jalalabad",34.44152692,70.43610347,401697,"Afghanistan"
"25","Charikar","Charikar",35.01826174,69.16791215,53676,"Afghanistan"
"26","Gardiz","Gardiz",33.60005373,69.21462764,82680.5,"Afghanistan"
"27","Bamian","Bamian",34.82106447,67.52103593,61863,"Afghanistan"
"28","Baghlan","Baghlan",36.13933026,68.69925858,163598.5,"Afghanistan"
"29","Farah","Farah",32.39172955,62.09681921,58604,"Afghanistan"
"30","Herat","Herat",34.33000917,62.16999304,439232.5,"Afghanistan"
"31","MazareSharif","MazareSharif",36.69999371,67.10002803,365432.5,"Afghanistan"
"32","Kandahar","Kandahar",31.61002016,65.69494584,613871,"Afghanistan"
"33","Kabul","Kabul",34.51669029,69.18326005,3160266,"Afghanistan"
"34","Mariehamn","Mariehamn",60.09699618,19.94900447,10682,"Aland"
"35","Kruje","Kruje",41.51899817,19.79700359,21286,"Albania"
"36","Fier","Fier",40.73000402,19.5730026,69747.5,"Albania"
"37","Lushnje","Lushnje",40.94000113,19.71600348,41469,"Albania"
"38","Puke","Puke",42.03330302,19.88330448,6495,"Albania"
"39","BajramCurri","BajramCurri",42.33330007,20.08330257,7967,"Albania"
"40","Kukes","Kukes",42.08300107,20.43399653,17832,"Albania"
"41","Sarande","Sarande",39.87700212,19.99999859,15147,"Albania"
"42","Erseke","Erseke",40.33330213,20.68329651,7890,"Albania"
"43","Pogradec","Pogradec",40.89999612,20.66400062,35000,"Albania"
"44","Korce","Korce",40.61667601,20.76666353,58259,"Albania"
"45","Berat","Berat",40.70999705,19.97199958,46866,"Albania"
"46","Corovode","Corovode",40.51670403,20.23329663,14046,"Albania"
"47","Gramsh","Gramsh",40.86669601,20.19999652,11556,"Albania"
"48","Librazhd","Librazhd",41.20000211,20.3667036,12691,"Albania"
"49","Tepelene","Tepelene",40.2832981,20.03329854,11955,"Albania"
"50","Permet","Permet",40.23399605,20.35199756,10686,"Albania"
